strategy,crypto,fill_model,total_trades,filled_trades,fill_rate,winning_trades,losing_trades,win_rate,total_capital_deployed,total_net_pnl,total_fees,roi_pct,profit_factor,sharpe_ratio,max_drawdown,param_tier1_price,param_tier2_price,param_tier1_capital,param_tier2_capital,param_exit_strategy
stink_bid,BTC,optimistic,6908,3487,0.5048,39,3448,0.0112,45775.0,218343.23,915.5,476.99,5.7705,0.5237,7135.92,0.01,0.001,25.0,1.0,hold_to_resolution
stink_bid,BTC,realistic,6908,3062,0.4433,9,3053,0.0029,39206.0,34108.83,784.12,87.0,1.8579,0.2338,12393.0,0.01,0.001,25.0,1.0,hold_to_resolution
stink_bid,ETH,optimistic,6904,3472,0.5029,52,3420,0.015,45784.0,353339.12,915.68,771.75,8.758,0.5656,11746.32,0.01,0.001,25.0,1.0,hold_to_resolution
stink_bid,ETH,realistic,6904,2191,0.3174,11,2180,0.005,25879.0,154951.68,517.58,598.75,6.9276,0.4342,9319.74,0.01,0.001,25.0,1.0,hold_to_resolution
stink_bid,SOL,optimistic,6708,3342,0.4982,29,3313,0.0087,43902.0,205108.85,878.04,467.2,5.6418,0.5469,10336.68,0.01,0.001,25.0,1.0,hold_to_resolution
stink_bid,SOL,realistic,6708,952,0.1419,2,950,0.0021,7768.0,21927.39,155.36,282.28,3.7854,0.182,3839.28,0.01,0.001,25.0,1.0,hold_to_resolution
stink_bid,BTC,optimistic,6908,3487,0.5048,2403,1084,0.6891,45775.0,118067.21,915.5,257.93,7.7533,0.8229,329.88,0.01,0.001,25.0,1.0,sell_at_2x
stink_bid,BTC,realistic,6908,3062,0.4433,1757,1305,0.5738,39206.0,67851.82,784.12,173.06,3.7958,0.849,620.45,0.01,0.001,25.0,1.0,sell_at_2x
stink_bid,ETH,optimistic,6904,3472,0.5029,2275,1197,0.6552,45784.0,197826.08,915.68,432.09,12.0871,0.7656,235.32,0.01,0.001,25.0,1.0,sell_at_2x
stink_bid,ETH,realistic,6904,2191,0.3174,1318,873,0.6016,25879.0,97720.19,517.58,377.6,7.7047,0.5203,301.16,0.01,0.001,25.0,1.0,sell_at_2x
stink_bid,SOL,optimistic,6708,3342,0.4982,2026,1316,0.6062,43902.0,206259.48,878.04,469.82,12.3426,0.8182,703.18,0.01,0.001,25.0,1.0,sell_at_2x
stink_bid,SOL,realistic,6708,952,0.1419,656,296,0.6891,7768.0,24581.72,155.36,316.45,9.8602,1.273,129.86,0.01,0.001,25.0,1.0,sell_at_2x
stink_bid,BTC,optimistic,6908,3487,0.5048,1215,2272,0.3484,45775.0,131537.01,915.5,287.36,4.993,0.8014,888.04,0.01,0.001,25.0,1.0,sell_at_5x
stink_bid,BTC,realistic,6908,3062,0.4433,956,2106,0.3122,39206.0,75208.18,784.12,191.83,3.4524,0.8325,1050.23,0.01,0.001,25.0,1.0,sell_at_5x
stink_bid,ETH,optimistic,6904,3472,0.5029,1144,2328,0.3295,45784.0,202946.45,915.68,443.27,7.2146,0.7588,956.01,0.01,0.001,25.0,1.0,sell_at_5x
stink_bid,ETH,realistic,6904,2191,0.3174,655,1536,0.299,25879.0,102740.71,517.58,397.0,6.1623,0.5337,1462.94,0.01,0.001,25.0,1.0,sell_at_5x
stink_bid,SOL,optimistic,6708,3342,0.4982,1156,2186,0.3459,43902.0,230263.85,878.04,524.5,8.754,0.8853,1415.42,0.01,0.001,25.0,1.0,sell_at_5x
stink_bid,SOL,realistic,6708,952,0.1419,401,551,0.4212,7768.0,35356.16,155.36,455.15,9.5991,1.3499,206.44,0.01,0.001,25.0,1.0,sell_at_5x
stink_bid,BTC,optimistic,6908,3487,0.5048,696,2791,0.1996,45775.0,135315.28,915.5,295.61,4.5,0.7894,2057.13,0.01,0.001,25.0,1.0,sell_at_10x
stink_bid,BTC,realistic,6908,3062,0.4433,530,2532,0.1731,39206.0,75600.43,784.12,192.83,3.1756,0.7638,2099.58,0.01,0.001,25.0,1.0,sell_at_10x
stink_bid,ETH,optimistic,6904,3472,0.5029,678,2794,0.1953,45784.0,208204.33,915.68,454.75,6.4751,0.7468,3921.32,0.01,0.001,25.0,1.0,sell_at_10x
stink_bid,ETH,realistic,6904,2191,0.3174,384,1807,0.1753,25879.0,102361.96,517.58,395.54,5.5935,0.5401,2449.96,0.01,0.001,25.0,1.0,sell_at_10x
stink_bid,SOL,optimistic,6708,3342,0.4982,694,2648,0.2077,43902.0,229250.16,878.04,522.19,7.426,0.8277,2366.5,0.01,0.001,25.0,1.0,sell_at_10x
stink_bid,SOL,realistic,6708,952,0.1419,242,710,0.2542,7768.0,37743.15,155.36,485.88,7.8347,1.1781,316.16,0.01,0.001,25.0,1.0,sell_at_10x
stink_bid,BTC,optimistic,6908,3487,0.5048,462,3025,0.1325,45775.0,134652.49,915.5,294.16,4.2779,0.7188,2319.37,0.01,0.001,25.0,1.0,sell_at_15x
stink_bid,BTC,realistic,6908,3062,0.4433,347,2715,0.1133,39206.0,74373.79,784.12,189.7,3.0512,0.7364,2291.83,0.01,0.001,25.0,1.0,sell_at_15x
stink_bid,ETH,optimistic,6904,3472,0.5029,455,3017,0.131,45784.0,204778.23,915.68,447.27,6.0432,0.6859,4607.2,0.01,0.001,25.0,1.0,sell_at_15x
stink_bid,ETH,realistic,6904,2191,0.3174,245,1946,0.1118,25879.0,100074.91,517.58,386.7,5.2491,0.4891,2887.57,0.01,0.001,25.0,1.0,sell_at_15x
stink_bid,SOL,optimistic,6708,3342,0.4982,459,2883,0.1373,43902.0,215023.59,878.04,489.78,6.5553,0.7791,2877.16,0.01,0.001,25.0,1.0,sell_at_15x
stink_bid,SOL,realistic,6708,952,0.1419,152,800,0.1597,7768.0,34959.6,155.36,450.05,6.682,1.0442,357.0,0.01,0.001,25.0,1.0,sell_at_15x
stink_bid,BTC,optimistic,6908,3487,0.5048,265,3222,0.076,45775.0,126848.41,915.5,277.11,3.9371,0.6782,2677.08,0.01,0.001,25.0,1.0,sell_at_25x
stink_bid,BTC,realistic,6908,3062,0.4433,189,2873,0.0617,39206.0,68663.14,784.12,175.13,2.8158,0.608,3252.6,0.01,0.001,25.0,1.0,sell_at_25x
stink_bid,ETH,optimistic,6904,3472,0.5029,255,3217,0.0734,45784.0,198038.29,915.68,432.55,5.6016,0.6742,7029.84,0.01,0.001,25.0,1.0,sell_at_25x
stink_bid,ETH,realistic,6904,2191,0.3174,136,2055,0.0621,25879.0,98197.6,517.58,379.45,4.9849,0.4851,4713.42,0.01,0.001,25.0,1.0,sell_at_25x
stink_bid,SOL,optimistic,6708,3342,0.4982,254,3088,0.076,43902.0,186426.82,878.04,424.64,5.5151,0.6781,4109.58,0.01,0.001,25.0,1.0,sell_at_25x
stink_bid,SOL,realistic,6708,952,0.1419,80,872,0.084,7768.0,29861.61,155.36,384.42,5.367,0.9034,651.28,0.01,0.001,25.0,1.0,sell_at_25x
stink_bid,BTC,optimistic,6908,3487,0.5048,130,3357,0.0373,45775.0,127978.04,915.5,279.58,3.8601,0.5993,5753.82,0.01,0.001,25.0,1.0,sell_at_50x
stink_bid,BTC,realistic,6908,3062,0.4433,86,2976,0.0281,39206.0,64156.93,784.12,163.64,2.6473,0.5404,5698.74,0.01,0.001,25.0,1.0,sell_at_50x
stink_bid,ETH,optimistic,6904,3472,0.5029,170,3302,0.049,45784.0,224169.91,915.68,489.62,6.0914,0.6954,7029.84,0.01,0.001,25.0,1.0,sell_at_50x
stink_bid,ETH,realistic,6904,2191,0.3174,81,2110,0.037,25879.0,105078.42,517.58,406.04,5.1637,0.5144,4713.42,0.01,0.001,25.0,1.0,sell_at_50x
stink_bid,SOL,optimistic,6708,3342,0.4982,107,3235,0.032,43902.0,181722.68,878.04,413.93,5.2087,0.5589,7209.38,0.01,0.001,25.0,1.0,sell_at_50x
stink_bid,SOL,realistic,6708,952,0.1419,26,926,0.0273,7768.0,42831.82,155.36,551.39,6.67,0.3764,1679.98,0.01,0.001,25.0,1.0,sell_at_50x
stink_bid,BTC,optimistic,6908,3487,0.5048,116,3371,0.0333,45775.0,150255.46,915.5,328.25,4.3477,0.6383,5858.88,0.01,0.001,25.0,1.0,sell_at_75x
stink_bid,BTC,realistic,6908,3062,0.4433,75,2987,0.0245,39206.0,73789.23,784.12,188.21,2.8905,0.5872,6911.52,0.01,0.001,25.0,1.0,sell_at_75x
stink_bid,ETH,optimistic,6904,3472,0.5029,139,3333,0.04,45784.0,239263.65,915.68,522.59,6.3824,0.7239,7029.84,0.01,0.001,25.0,1.0,sell_at_75x
stink_bid,ETH,realistic,6904,2191,0.3174,67,2124,0.0306,25879.0,109287.97,517.58,422.3,5.2989,0.5445,4713.42,0.01,0.001,25.0,1.0,sell_at_75x
stink_bid,SOL,optimistic,6708,3342,0.4982,91,3251,0.0272,43902.0,208456.77,878.04,474.82,5.8043,0.5368,9700.2,0.01,0.001,25.0,1.0,sell_at_75x
stink_bid,SOL,realistic,6708,952,0.1419,22,930,0.0231,7768.0,46946.69,155.36,604.36,7.1913,0.3924,1732.98,0.01,0.001,25.0,1.0,sell_at_75x
stink_bid,BTC,optimistic,6908,3487,0.5048,96,3391,0.0275,45775.0,172171.59,915.5,376.13,4.8197,0.652,5858.88,0.01,0.001,25.0,1.0,sell_at_100x
stink_bid,BTC,realistic,6908,3062,0.4433,57,3005,0.0186,39206.0,88066.49,784.12,224.63,3.2467,0.5586,6939.06,0.01,0.001,25.0,1.0,sell_at_100x
stink_bid,ETH,optimistic,6904,3472,0.5029,107,3365,0.0308,45784.0,249543.99,915.68,545.05,6.5606,0.6906,7740.42,0.01,0.001,25.0,1.0,sell_at_100x
