strategy,crypto,fill_model,total_trades,filled_trades,fill_rate,winning_trades,losing_trades,win_rate,total_capital_deployed,total_net_pnl,total_fees,roi_pct,profit_factor,sharpe_ratio,max_drawdown,param_tier1_price,param_tier2_price,param_tier1_capital,param_tier2_capital,param_exit_strategy,composite_score
volatility_spread,ETH,optimistic,3452,1899,0.5501,173,1726,0.0911,379800.0,3565073.58,7596.0,938.67,11.1251,0.6718,29804.64,,,,,hold_to_resolution,0.6638
volatility_spread,SOL,optimistic,3354,1717,0.5119,1014,703,0.5906,343400.0,1623170.81,6868.0,472.68,12.3182,0.8163,5719.08,,,,,sell_at_target,0.6635
volatility_spread,SOL,optimistic,3354,1717,0.5119,1004,713,0.5847,343400.0,1628537.17,6868.0,474.24,12.1964,0.8201,5700.0,,,,,sell_at_target,0.6613
volatility_spread,SOL,optimistic,3354,1747,0.5209,1030,717,0.5896,349400.0,1629543.34,6988.0,466.38,12.1408,0.7813,5607.72,,,,,sell_at_target,0.6593
volatility_spread,SOL,optimistic,3354,1735,0.5173,1025,710,0.5908,347000.0,1603323.61,6940.0,462.05,12.0696,0.7981,5511.08,,,,,sell_at_target,0.6579
volatility_spread,SOL,optimistic,3354,1747,0.5209,1020,727,0.5839,349400.0,1636370.51,6988.0,468.34,12.0336,0.7848,5588.64,,,,,sell_at_target,0.6574
volatility_spread,SOL,optimistic,3354,1735,0.5173,1015,720,0.585,347000.0,1610788.87,6940.0,464.2,11.9667,0.8024,5492.0,,,,,sell_at_target,0.6561
volatility_spread,ETH,optimistic,3452,1870,0.5417,144,1726,0.077,374000.0,3504600.79,7480.0,937.06,10.9533,0.6634,34068.0,,,,,hold_to_resolution,0.6524
volatility_spread,ETH,optimistic,3452,1816,0.5261,1047,769,0.5765,363200.0,1599069.14,7264.0,440.27,11.1932,0.8088,2915.89,,,,,sell_at_target,0.645
volatility_spread,SOL,optimistic,3354,1771,0.528,1048,723,0.5918,354200.0,1556998.08,7084.0,439.58,11.5565,0.746,6115.08,,,,,sell_at_target,0.645
volatility_spread,SOL,optimistic,3354,1771,0.528,1038,733,0.5861,354200.0,1566554.0,7084.0,442.28,11.4764,0.7508,6096.0,,,,,sell_at_target,0.6437
volatility_spread,ETH,optimistic,3452,1816,0.5261,1049,767,0.5776,363200.0,1586369.5,7264.0,436.78,11.1386,0.802,3029.32,,,,,sell_at_target,0.6432
